0,1,2,3,4
HEPA  filter,"HEPA필터,    고성능미
립자공기필터,  고성능
공기필터","최소0.3μm입자를99.97%제거할수있는    효과를  지닌  고  효율      미
립자  공기  필터.","H i g h e f f i c i e n c y p a r t i c u l a t e a i r f i
l t e r w i t h m i n i m u m 0 . 3 μ
mparticleretainingefficiencyof99.97percent.",Ref    10
"Highefficienc
yparticulateai
r(HEPA)filter","HEPA필터,    고성능미
립자공기필터,  고성능
공기필터","지정된    크기의  미립자  물질을  지정된  퍼센트만큼  제거할  수  있
도록  디자인된  효과적인  매트릭스","Retentive 
  matrix  designed 
to 
remove  a  defined  percentage  of  particulate 
matter  of  a    defined  size.",Ref    11
HVAC,공기조화장치,"난방,환기및공기조화","Heating,ventilation,andairconditioning.","Ref  10,   
11"
"Identification 
Test",확인시험,검체    중  분석대상물질을  확인하는  시험을  말한다.,N/A,Ref    17
Impurity,불순물,중간체    또는  API에  존재하는  바람직하지  않은  모든  성분,"Any    component  present  in  the  intermediate  or  API  that  is  not  the  desired 
entity.",Ref    2
"Impurity 
Profile",불순물프로필,API에    존재하는  확인  및  미확인  불순물에  대한  설명,A    description  of  the  identified  and  unidentified  impurities  present  in  an  API.,Ref    2
"Inactive 
ingredient","불활성성분,    첨가제",활성    성분  이외의  모든  원료를  의미한다.,Inactive    ingredient  means  any  component  other  than  anactive  ingredient.,Ref    3
"Industrial 
isolators 
used  for 
aseptic 
processing.","무균  공정용    산업  아
이솔레이터","무균공정에사용하는산업용아이솔레이터는미생물이관리되는내부공
간및노출표면으로구성된다.미생물제거효율이있는필터와무균공정,
포자사멸공정(보통가스사용)을통해외부환경으로부터재오염되지않
도록유지된다.","Industrial 
  isolators  used  for  aseptic  processing  are  isolators 
in  which 
the 
internal    space  and  exposed  surfaces  are  microbiologically  controlled.  Control 
is 
  achieved  by 
the  use  of  microbiologically 
retentive 
filters, 
sterilization   
processes, 
sporicidal 
processes 
(usually 
by 
gassing) 
and 
prevention 
of   
recontamination  from  the  external  environment.",Ref    12
Innovation,혁신,새로운    기술이나  방법의  도입.,The    introduction  of  new  technologies  or  methodologies.,Ref    19
"In-Process 
Control(or 
Process 
Control)",공정관리,"생산을수행하는동안에모니터를위해서    수행하는  점검을  의미한다. 
필요한      경우,  제품이  제품의  규격에  적합한지  확인하고,  공정을 
조정한다.              환경  또는  장비의  제어는  공정검사의  일부분으로 
여겨질  수  있다.","Checks    performed  during  production  in  order  to  monitor  and  if  necessary  to 
adjust    the  process  to  ensure  that  the  product  conforms  its  specification.  The   
control  of  the  environment  or  equipment  may  also  be  regarded  as  a  part  of   
in-process  control.",Ref    4
,,"생산을수행하는동안에모니터를위해서    수행하는  점검을  의미한다. 
필요한  경우,  제품이  제품의  규격에  적합한지      확인하고,  공정을 
조정한다.  환경  또는  장비의  제어는  공정검사의  일부분으로  여겨
질  수  있다.","Checks    performed  during  production  in  order  to  monitor  and,  if  necessary, 
to  adjust    the  process  to  ensure  that  the  product  conforms  to  its  specifi 
cations.  The    control  of  the  environment  or  equipment  may  also  be  regarded 
as  a  part  of    in-process  control.",Ref    5
,,"공정을  모니터하고  필요한  경우에는  공정을  조정하여  중간체  또
는  API가  규격에    부합하도록  하기  위해  생산  과정  중에  실시하
는  점검.","Checks    performed  during  production  in  order  to  monitor  and,  if  appropriate, 
to 
  adjust 
the  process  and/or 
to  ensure 
that 
the 
intermediate  or  API 
conforms  to    its  specifications.",Ref    2
"In-process 
material","중간물질,    공정  중  반
응물질","의약품    제조를  위해  생산되고  이를  위해  사용되는  것으로,  조립, 
배합,  혼합,  또는  화학  반응  유래  방식으로  생산된  모든  물품을 
의미한다.","In-process    material  means  any  material  fabricated,  compounded,  blended,  or 
derived  by 
 
chemical 
reaction 
that 
is  produced 
for, 
and  used 
in, 
the 
preparation  of  the    drug  product.",Ref    3
"Installation 
Qualification 
(IQ)",설치적격성평가,"설치    또는  변형된  상태의  시설,  시스템,  설비가  승인된  설계  문
서  및  제조업체의  권고  사항에  부합함을  확인하여  문서화  하는 
절차","The    documented  verification  that  the  facilities,  systems  and  equipment,  as   
installed 
or 
modified, 
comply 
with 
the 
approved 
design 
and 
the 
manufacturer's    recommendations.",Ref    6
,,,,
,,"기계,  설비  또는  시스템이  설정된  기준에  맞게  설치되었는지를  현
장에서  검증하고    문서화하는  것을  말한다.",N/A,Ref    17
"Integration 
testing","완성시험,    통합시험","시스템    전체의  통합이  완료될  때까지  소프트웨어  요소나  하드웨
어  요소,  또는  이  두  요소를  순차적으로  결합하고  테스트하는  활
동.","An 
  orderly  progression  of 
testing 
in  which  software  elements,  hardware 
elements,    or  both  are  combined  and  tested  until  the  entire  system  has  been 
integrated.",Ref    1
Integrity  test,완전성시험,필터    시스템의  기능적인  성능을  확인할  목적으로  수행하는  시험,Test    to  determine  the  functional  performance  of  a  filter  system.,Ref    11
Interface,인터페이스,"다른    시스템  구성요소와  상호작용  하거나  통신(커뮤니케이션)하
기위해  공유된  영역","A 
 
shared  boundary. 
To 
interact  or 
communicate  with 
another 
system 
component.",Ref    1
Intermediate,중간체,"API    공정  단계  중에  생산되는  것으로  API가  되기  전  추가적인 
분자변화  또는  정제를  거쳐야  하는  물질.  중간체는  분리될  수도, 
그렇지  않을    수도  있다.","A 
  material  produced  during 
steps  of 
the  processing  of 
an  API 
that 
undergoes    further  molecular  change  or  purification  before  it  becomes  an 
API. 
 
Intermediates  may  or  may  not  be 
isolated. 
(Note: 
this  Guide  only 
addresses    those  intermediates  produced  after  the  point  that  the  company 
has  defined  as    the  point  at  which  the  production  of  the  API  begins.)",Ref    2
"Intermediate 
Precision",실험실내    정밀성,"동일    실험실내에서  각각  서로  다른  실험일,  시험자,  기구  또는 
장비  등을  이용하여  분석  실험하여  얻은  측정값들  사이의  근접성
을  말한다.",N/A,Ref    17
"Intermediate 
Product","중간제품,  반제품","벌크    제품이  되기  위해서는  추가  제조  단계를  거쳐야  하는  부분
적으로  가공  처리된  물품","Partly    processed  material  which  must  undergo  further  manufacturing  steps 
before  it    becomes  a  bulk  product.",Ref    4
,,"벌크  제품이  되기  위해서는  추가  제조  단계를  거쳐야  하는  부분
적으로  가공  처리된  물품","Partly 
  processed  product 
that  must  undergo 
further  manufacturing  steps 
before  it    becomes  a  bulk  product.",Ref    5
Intervention,간섭,중요구역에서발생하는무균조작또는행동을말한다.,Anasepticmanipulationoractivitythatoccursatthecriticalarea.,Ref    10
Isolator,아이솔레이터,"청정등급100(ISO5)또는더높은수준의청정공기를공급받는오염이제
거된장치로,아이솔레이터내부는외부환경(예:주변청정실공기및작업
자)으로부터내부를안전하고지속적으로격리시킨다.
아이솔레이터는크게두종류로나눌수있다.
폐쇄형아이솔레이터시스템은주변환경으로연결된개구부를사용하지
않고무균연결을통해보조설비로자재를이동시킴으로써아이솔레이터
내부가외부오염에노출되지않도록한다.
개방형아이솔레이터시스템은작업중하나이상의개구부를통해자재를
연속적으로또는반연속적으로유입및/또는유출되도록설계된다.개구
부는외부오염원이아이솔레이터내로유입되지않도록설계(예:연속적
인과압력을사용하여)된다.","Adecontaminatedunit,suppliedwithClass100(ISO5)orhigherairquality,thatprovidesu
ncompromised,continuousisolationofitsinteriorfromtheexternalenvironment(e.g.,su
rroundingcleanroomairandpersonnel).
Therearetwomajortypesofisolators:
Closedisolatorsystemsexcludeexternalcontaminationfromtheisolator'sinteriorbyacc
omplishingmaterialtransferviaasepticconnectiontoauxiliaryequipment,ratherthanus
eofopeningstothesurroundingenvironment.Closedsystemsremainsealedthroughout
operations.
  Open 
isolator 
systems  are  designed 
 
 
to  allow 
for 
the  continuous  or 
semi-continuous 
ingress 
and/or  egress  of 
 
  materials  during  operations 
through  one  or  more  openings.  Openings  are 
 
  engineered 
(e.g.,  using 
continuous  overpressure)  to  exclude  the  entry  of      external  contamination 
into  the  isolator.",Ref    10
"IT 
Infrastructure",IT  기반,"어플리케이션이    기능을  수행할  수  있도록  해주는  하드웨어  및 
소프트웨어(운영체제,  네트워킹  소프트웨어  등)","Thehardwareandsoftwaresuchasnetworkingsoftwareandoperation
systems,whichmakesitpossiblefortheapplicationtofunction",Ref    20
"Knowledge 
Management",지식  관리,"제품,    제조  프로세스,  원료와  관련된  정보의  수집,  분석,  보관,  유
포를  위한  체계적  접근  방식.","Systematic 
 
approach 
to 
acquiring, 
analysing, 
storing, 
and  disseminating 
information    related  to  products,  manufacturing  processes  and  components.",Ref    19
,,,,
Laminar  flow,층류,"직선    벡터의  시작점부터  끝부분까지  일정한  속도를  가지고  평행
이면서  한  방향으로  이동하는  공기흐름.","Anairflowmovinginasingledirectionandinparallellayersatconstantvelocityfromthebe
ginningtotheendofastraightlinevector.",Ref    10
"Large-volum
e  parenterals",대용량주사제,"최종    제형  1개  용기  중에  용량이  100mL  이상인  주사용  무균  액
제","Sterile    solutions  intended  for  parenteral  application  with  a  volume  of  100  ml 
or  more    in  one  container  of  the  fi  nished  dosage  form.",Ref    5
"Legacy 
Computerise
d  Systems","기존    컴퓨터화  시스
템","이미    구축되어  있으며  상당한  기간  동안  사용된  시스템을  의미
한다.  여러  가지  이유로  인해  시스템의  개발  및  커미셔닝  단계와 
관련된  GMP  준수    관련  문서와  기록서가  적절하게  구비되어  있
지  않다.  또한  오래  전에  구축되었기  때문에  시스템  밸리데이션 
관련  기록도  없을  수  있다.","These    are  regarded  as  systems  that  have  been  established  and  in  use  for 
some    considerable  time.  For  a  variety  of  reasons,  they  may  be  generally   
characterised  by 
lack  of  adequate  GMP  compliance 
related  documentation 
and    records  pertaining  to  the  development  and  commissioning  stage  of  the 
system.    Additionally,  because  of  their  age  there  may  be  no  records  of  a 
formal    approach  to  validation  of  the  system.",Ref    1
Life  cycle,"라이프  사이클,  제품수
명","초기    요구사항부터  폐기까지의  시스템과  관련된  모든  단계(설계, 
규격,  프로그래밍,  테스트,  설치,  운영,  유지보수)","All    phases  in  the  life  of  the  system  from  initial  requirements  until  retirement   
including  design,  specification,  programming,  testing,  installation,    operation, 
and  maintenance.",Ref    20
,,"초기  개발부터  판매를  거쳐  제품  중단에  이르는  한  제품의  일생
에  걸친  모든    단계(ICH  Q8).","All    phases  in  the  life  of  a  product  from  the  initial  development  through   
marketing  until  the  product’s  discontinuation",Ref    18
"Life  Cycle 
Concept","라이프    사이클  개념, 
제품수명  개념","사용자    요구사항  확인을  시작으로,  설계,  통합,  적격성,  사용자  밸
리데이션,  관리  및  유지보수를  거쳐  최종적으로  시스템의  상업적 
사용  중단까지에    이르는  컴퓨터  시스템  개발에  대한  접근법","An    approach  to  computer  system  development  that  begins  with  (PMA  CSVC)   
identification 
of 
the 
user’s 
requirements, 
continues 
through 
design,   
integration,  qualification,  user  validation,  control  and  maintenance,  and    ends 
only  when  commercial  use  of  the  system  is  discontinued.",Ref    1
Linearity,직선성,"실험방법이    일정  범위에  있는  검체  중  분석대상물질의  양  (또는 
농도)에  대하여  직선적인  측정값을  얻어낼  수  있는  능력을  말한
다.",N/A,Ref    17
"Liquifiable 
Gases",액화성가스,"정상적인    충전온도  및  압력  하에서  실린더  내에서  액체로  존재
하는  가스.","Those    which,  at  the  normal  filling  temperature  and  pressure,  remain  as  a 
liquid  in    the  cylinder.",Ref    4
Loop  Testing,"루프    시험,순환시험",입력/출력    루프  형태를  결정하는  설치  구성물  조합에  대한  확인,"Checking    the  installed  combination  of  elements  characterising  each  type  of   
input/output  loop.",Ref    1
Lot,"제조단위,  로트",배치    참조.,See    Batch,Ref    2
,,"특정  기준  내에서  균일한  성질과  품질을  지니는  제조단위  또는 
제조단위  중  특정  부분.    연속  공정으로  생산되는  완제의약품의 
경우  특정  기준  내에서  균일한  성질과  품질을  지닌다고  보장하는 
방식으로  일정  단위  시간  또는  일정    수량으로  생산되는  특정량
을  의미한다.","Lot 
  means  a  batch,  or  a  specific 
identified  portion  of  a  batch,  having 
uniform    character  and  quality  within  specified  limits;  or,  in  the  case  of  a 
drug 
  product  produced  by  continuous  process, 
it 
is  a  specific 
identified 
amount    produced  in  a  unit  of  time  or  quantity  in  a  manner  that  assures  its 
having    uniform  character  and  quality  within  specified  limits.",Ref    3
Lot  Number,"로트번호,    제조번호",배치    번호  참조,See    Batch  Number,Ref    2
"Lot  number, 
control 
number,  or 
batch 
number","로트번호,    관리번호, 
제조번호","로트번호,    관리번호,  또는  제조번호란  문자,  숫자,  기호를  구분  가
능하게  조합한  것으로  이를  통해  완제의약품  또는  기타  원자재의 
제조,  가공,  포장,    보관,  유통에  대한  전체  이력을  확인할  수  있
다.","Lot 
  number, 
control  number,  or  batch  number  means 
any  distinctive 
combination  of    letters,  numbers,  or  symbols,  or  any  combination  of  them, 
from  which  the    complete  history  of  the  manufacture,  processing,  packing, 
holding,  and    distribution  of  a  batch  or  lot  of  drug  product  or  other  material 
can  be    determined.",Ref    3
Manifold,다기관,"1개    이상의  가스  용기를  동시에  비우고  충전할  수  있도록  설계
된  설비  또는  장치.","Equipmentorapparatusdesignedtoenableoneormoregascontainerstobefilled
simultaneouslyfromthesamesource.",Ref    4
,,,,
Manufacture,제조,"물품의    입고,  API의  생산,  포장,  재포장,  라벨링,  재라벨링,  품질관
리,  출하  승인,  보관,  유통  및  관련  관리  활동  등  모든  작업  행위","All    operations  of  receipt  of  materials,  production,  packaging,  repackaging,   
labelling,  relabelling,  quality  control,  release,  storage,  and  distribution    of  APIs 
and  related  controls.",Ref    2
,,"물품과  제품의  구입,  생산,  품질관리,  출하,  보관,  의약품의  배포 
및  연관된  모든    행위","All 
  operations  of  purchase  of  materials  and  products,  Production,  Quality   
Control,  release,  storage,  distribution  of  medicinal  products  and  the  related   
controls.",Ref    4
,,"물품과  제품의  구매,  생산,  품질관리,  출하승인,  보관,  의약품의  유
통  및  관련  관리    작업  등  모든  작업","Alloperationsofpurchaseofmaterialsandproducts,production,quality
control(QC),release,storageanddistributionofpharmaceuticalproducts,andtherelate
dcontrols.",Ref    5
"Manufacture, 
processing, 
packing,  or 
holding  of  a 
drug 
product","의약품의    제조,  가공, 
포장,  또는  보관","완제의약품의    제조,  가공,  포장  또는  보관은  포장과  라벨,  시험과 
완제의약품의  품질관리를  포함한다.","Manufacture, 
  processing,  packing,  or  holding  of  a  drug  product 
includes 
packaging  and 
 
labeling  operations, 
testing,  and  quality  control  of  drug 
products.",Ref    3
Manufacturer,"제조업,  제조업자","Article    40  of  Directive  2001/83/EC1.에  언급된  제조  권한을  가지
고  있는  자.","Holder 
  of  a  Manufacturing  Authorisation  as  described 
in  Article  40  of 
Directive    2001/83/EC1.",Ref    4
,,"의약품의생산,포장,재포장,라벨작업,재라벨작업등의    작업을  수행하
는  회사","A 
 
company 
that 
carries  out  operations 
such  as  production,  packaging,   
repackaging,  labelling  and  relabelling  of  pharmaceuticals.",Ref    5
,,,,
"Marketing 
authorization 
(product 
licence, 
registration   
certificate)","제조,판매    승인","의약품을    관장하는  규제당국에서  발행하는  법적  문서로  제품의 
구성성분  및  조성,  성분과  최종  제품  자체의  약전  또는  기타  공인 
규격을  규정하고  포장,    라벨,  유효기한에  관한  세부  사항을  포함
한다.","A    legal  document  issued  by  the  competent  medicines  regulatory  authority 
that    establishes  the  detailed  composition  and  formulation  of  the  product 
and  the    pharmacopoeial  or  other  recognized  specifi  cations  of  its  ingredients 
and  of    the  final  product  itself,  and  includes  details  of  packaging,  labelling 
and    shelf-life.",Ref    5
"Master 
formula",제품표준서,"출발물질과    그  분량,  포장자재,  특정  분량의  완제품을  생산하는
데  필요한  방법과  주의사항에  대한  기술,  공정관리를  포함한  공정
지시서를  규정한  문서  또는    문서모음","A    document  or  set  of  documents  specifying  the  starting  materials  with  their   
quantities  and  the  packaging  materials,  together  with  a  description  of 
the   
procedures  and  precautions  required  to  produce  a  specifi  ed  quantity  of  a   
finished 
product 
as  well 
as 
the 
processing 
instructions, 
including 
the   
inprocess  controls.",Ref    5
"Master 
record","기록  원본,    마스터  기
록","제조기록문서의    기초가  되는  문서  또는  문서  모음(기입하지  않은 
제조기록서)","A 
  document  or  set  of  documents 
that  serve  as  a  basis 
for 
the  batch   
documentation  (blank  batch  record).",Ref    5
Material,원자재,"원료약품(출발물질,    시약,  용매),  공정보조물,  중간체,  API,  포장 
및  표시  자재를  지칭하는  일반적인  용어","A    general  term  used  to  denote  raw  materials  (starting  materials,  reagents,   
solvents),  process 
aids, 
intermediates,  APIs 
and  packaging 
and 
labelling   
materials.",Ref    2
,,원료약품  및  자재를  말한다.,N/A,Ref    15
Media  fills,배지충전,"미생물증식용배지를사용하여무균공정을평가하는방법
배지충전은모의제품충전,액상배지시험,액상배지충전등과같은의미","Method    of  evaluating  an  aseptic  process  using  a  microbial  growth  medium. 
(Media    fills  are  understood  to  be  synonymous  to  simulated  product  fills,",Ref    11
,,로이해된다.,"broth    trials,  broth  fills  etc.).",
"Medicinal 
Product",완제의약품,"사람또는동물의질병을치료하거나,예방하기위해구성된물질또는물질
의조합
의약적진단을하거나,사람또는동물에서생리학적인기능을회복시키거
나,교정,수정하기위해사람또는동물에게투여될수있는물질또는물질
의조합은의약품으로간주된다.","Anysubstanceorcombinationofsubstancespresentedfortreatingorpreventingdisease
inhumanbeingsoranimals.
Anysubstanceorcombinationofsubstanceswhichmaybeadministeredtohumanbeings
oranimalswithaviewtomakingamedicaldiagnosisortorestoring,correctingormodifyin
gphysiologicalfunctionsinhumanbeingsorinanimalsislikewiseconsideredamedicinalp
roduct.",Ref    4
,,"모든  제조공정이  완료되어  최종적으로  인체에  투여할  수  있도록 
일정한  제형으로  제조된    의약품을  말한다.",N/A,Ref    15
Microbicide,살균제,"미생물을사멸하는화학물질또는화학적혼합물
biocide,chemicalgermicide,antimicrobial대신하여사용한다.","A    chemical  or  mixture  of  chemicals  that  kills  microorganisms.  The  term  is 
often    used  in  place  of  ""biocide"",  ""chemical  germicide""  or    ""antimicrobial"".",Ref    13
"Mother 
Liquor",모액,"결정화    또는  분리  공정  이후  남아  있는  잔류  액체.  모액에는  미
반응  물질,  중간체,  API물질  및/또는  불순물이  포함되어  있을  수 
있다.  모액은    추가  공정에  사용될  수  있다.","The 
 
residual 
liquid  which 
remains 
after 
the 
crystallization  or 
isolation   
processes.  A  mother 
liquor  may  contain  unreacted  materials, 
intermediates,   
levels  of  the  API  and/or  impurities.  It  may  be  used  for  further  processing.",Ref    2
Network,네트워크,"(a)상호연결또는상호관련된교점의집단.
(b)상호연결된의사소통시설.근거리통신망(LAN)은사무실또는사무실
그룹에걸쳐작동하는고대역폭(높은데이터전송율가능)컴퓨터네트워
크이다.","(a)Aninterconnected,orinterrelatedgroupofnodes.
(b)Aninterconnectedcommunicationsfacility.ALocalAreaNetwork(LAN)isahighband
width(allowingahighdatatransferrate)computernetworkoperatingoverasmallareasuc
hasanofficeorgroupofoffices.",Ref    1
"Nonfiber 
releasing 
filter","섬유를    방출하지  않
는  필터","세척    또는  세정  등  적절한  전처리를  실시한  후  사용하면  여과 
대상  원료  또는  완제의약품으로  섬유를  방출하지  않는  필터","Nonfiber    releasing  filtermeans  any  filter,  which  after  appropriate  pretreatment 
such    as  washing  or  flushing,  will  not  release  fibers  into  the  component  or 
drug    product  that  is  being  filtered.",Ref    3
Operating,운영(가동)환경,"시스템의 
  중요부분과  직/간접적으로  상호작용하거나,  시스템의",Thoseconditionsandactivitiesinterfacingdirectlyorindirectlywiththesystemof,Ref    1
Environment,,밸리데이션  상태에  영향을  줄  수  있는  모든  조건  및  활동들,"concern,controlofwhichcanaffectthesystem’svalidatedstate.",
"Operating 
System","운영(가동)체제,    운영
(가동)시스템","하드웨어와    어플리케이션  프로그램간의  인터페이스를  지원하는, 
컴퓨터와  함께  제공되는  일련의  소프트웨어  프로그램","A    set  of  software  programs  provided  with  a  computer  that  function  as  the   
interface  between  the  hardware  and  the  applications  program.",Ref    1
"Operational 
Qualification 
(OQ)",운전적격성평가,"설치    또는  변형된  상태의  시설,  시스템,  설비가  예정  운전  범위 
안에서  예상대로  작동됨을  확인하여  문서화  하는  절차","The    documented  verification  that  the  facilities,  systems  and  equipment,  as   
installed 
or  modified, 
perform 
as 
intended 
throughout 
the 
anticipated   
operating  ranges.",Ref    6
,,"기계,  설비  또는  시스템이  예측된  운전범위  내에서  의도한  대로 
가동하는지를  검증하고    문서화하는  것을  말한다.",N/A,Ref    17
Operator,운전자,"라인    설치,  유지보수를  포함한  무균  공정  작업에  관여하는  모든 
사람  또는  무균  라인  활동에  연관된  기타  작업자","Anyindividualparticipatingintheasepticprocessingoperation,includinglineset-up,fille
r,maintenance,orotherpersonnelassociatedwithasepticlineactivities.",Ref    10
"Out  of 
Specification",기준일탈,시험의    결과가  미리  정하여진  시험기준을  벗어난  경우를  말한다.,N/A,Ref    15
"Outsourced 
Activities",아웃소싱    활동,위탁업체와의    계약에  의거하여  수탁업체가  수행하는  활동.,"Activities    conducted  by  a  contract  acceptor  under  a  written  agreement  with 
a  contract    giver.",Ref    19
"Overkill 
sterilization",오버킬멸균공정,"최소    1분의  D  값을  지닌  미생물을  적어도  12  log  감소시킬  수 
있는  멸균  공정","A 
  process 
that 
is 
sufficient 
to  provide  at 
least  a  12 
log 
reduction  of   
microorganisms  having  a  minimum  D  value  of  1  minute.",Ref    10
process,,,,
Packaging,포장,"완제의약품이되기위한공정을거친반제품의충전,라벨링을포함하는모
든공정
참고:무균충전에있어서충전되어졌으나,1차용기에최종포장되지않은
반제품은일반적으로포장의일부분으로여겨지지않는다.","Alloperations,includingfillingandlabelling,whichabulkproducthastoundergoinordert
obecomeafinishedproduct.
NoteSterilefillingwouldnotnormallyberegardedaspartofpackaging,thebulkproductb
eingthefilled,butnotfinallypackaged,primarycontainers.",Ref    4
,,"충전및라벨작업을포함하여벌크제품을최종제품으로만들기위해거쳐
야하는모든작업으로무균조건에서의무균 
  제품 
  충전  또는  사후 
멸균  제품의  충전은  일반적으로  포장  작업의  일부로  간주되지     
않는다.","All    operations,  including  fi  lling  and  labelling,  that  a  bulk  product  has  to   
undergo  in  order  to  become  a  fi  nished  product.  Filling  of  a  sterile  product   
under  aseptic  conditions  or  a  product  intended  to  be  terminally  sterilized,   
would  not  normally  be  regarded  as  part  of  packaging.",Ref    5
"Packaging 
Material",포장자재,보관    및  운송  중  중간체  또는  API를  보호하기  위한  모든  물질.,"Any    material  intended  to  protect  an  intermediate  or  API  during  storage  and   
transport.",Ref    2
,,"의약품  포장에  사용되는  모든  물품으로서  운송이나  수송용의  외
부  포장을  제외한다.  포장    자재는  제품과  직접  접촉하는지  여부
에  따라  일차  포장  또는  이차  포장으로  구분한다.","Any    material  employed  in  the  packaging  of  a  medicinal  product,  excluding 
any 
 
outer 
packaging 
used 
for 
transportation 
or 
shipment. 
Packaging 
materials  are    referred  to  as  primary  or  secondary  according  to  whether  or 
not  they  are    intended  to  be  in  direct  contact  with  the  product.",Ref    4
,,"의약품의  포장에  투입된  인쇄  자재를  포함한  모든  물품으로,  운송
이나  수송용의  기타    외포장은  제외한다.  포장자재는  제품과의  직
접  접촉  여부에  따라  일차  포장  또는  이차  포장으로  구분된다.","Any    material,  including  printed  material,  employed  in  the  packaging  of  a   
pharmaceutical,  but  excluding  any  outer  packaging  used  for  transportation  or   
shipment. 
Packaging  materials 
are 
referred 
to 
as  primary  or 
secondary   
according  to  whether  or  not  they  are  intended  to  be  in  direct  contact  with   
the  product.",Ref    5
,,"포장과  표시작업에  사용되는  용기,  표시재료,  첨부문서,  포장재료 
등을  말한다",N/A,Ref    15
Parametric,"파라메트릭릴리스,    매",제조공정중수집정보와매개변수출하관련GMP규정준수를근거로제품,A    system  of  release  that  gives  the  assurance  that  the  product  is  of  the,Ref    7
Release,개변수  출하승인,이의도하는품질을확보했음을보증할수있는출하승인시스템,"intended  quality  based  on 
information  collected  during 
the  manufacturing   
process  and  on  the  compliance  with  specific  GMP  requirements  related  to   
Parametric  Release.",
"Percentage 
of 
theoretical 
yield",이론수율의    백분율,"퍼센트로    표현된  실  생산량(특정  완제의약품의  제조,  가공,  또는 
포장의  적절한  단계)과  이론  생산량(동일  단계)의  비율","Percentage    of  theoretical  yieldmeans  the  ratio  of  the  actual  yield  (at  any 
appropriate 
  phase  of  manufacture,  processing,  or  packing  of  a  particular 
drug  product) 
to 
 
the 
theoretical  yield 
(at 
the  same  phase),  stated  as  a 
percentage.",Ref    3
"Performance 
Indicators",성과  지표,"조직,    프로세스,  또는  시스템의  성과를  반영하여  품질  목표를  계
량적으로  평가하는데  활용되는  측정  가능한  값.  ""성과    메트릭""이
라고  부르기도  한다.","Measurable 
 
values 
used 
to 
quantify 
quality 
objectives 
to 
reflect 
the 
performance 
of 
an 
 
organisation, 
process 
or 
system, 
also 
known 
as 
“performance  metrics”  in  some    regions.",Ref    19
"Performance 
Qualification 
(PQ)",성능적격성평가,"시설,    시스템,  설비가  서로  연결된  상태에서  승인된  공정  방법과 
제품  규격을  토대로  효과적이고  재현성  있게  성능을  발휘할  수 
있음을  확인하여    문서화  하는  절차","The    documented  verification  that  the  facilities,  systems  and  equipment,  as   
connected  together,  can  perform  effectively  and  reproducibly,  based  on  the   
approved  process  method  and  product  specification.",Ref    6
,,"기계,  설비  또는  시스템이  설정된  품질기준에  맞게  제품을  제조할 
수  있는지를  검증하고    문서화하는  것을  말한다.",N/A,Ref    17
"Pharmaceutic
al  Isolator",제약    아이솔레이터,"아이솔레이터는    특정  기준에  부합하는  압력에  근거하여  일상적
인  누출  시험을  실시하기  위해  밀폐할  수  있는  수준까지  통합된 
물리적인  장벽으로  이루어진    장치이다.  내부에는  주변  환경과  분
리된  작업  환경이  마련된다.  아이솔레이터  외부에서  내부  공간의 
무결성을  해하지  않은  상태로  아이솔레이터    내부에  접근하여  조
작을  실시할  수  있다.","Anisolatorisanarrangementofphysicalbarriersthatareintegratedtotheextentthattheis
olatorcanbesealedinordertocarryoutaroutineleaktestbasedonpressuretomeetspecifi
edlimits.Internallyitprovidesaworkspace,whichisseparatedfromthesurroundingenvir
onment.Manipulationscanbecarriedoutwithinthespacefromthe
outsidewithoutcompromisingitsintegrity.",Ref    12
Pharmaceutic,의약품,수출국과    수입국  모두에서  약사  관련  법규의  규제  대상이  되는,Anymaterialorproductintendedforhumanorveterinaryusepresentedin,Ref    5
al  product,,"것으로서  최종  제형  또는  그러한  제형에  사용하기  위한  출발물질
로  제공되는  사람용  또는    동물용  물품  또는  제품","itsfinisheddosageformorasastartingmaterialforuseinsuchadosage
form,thatissubjecttocontrolbypharmaceuticallegislationintheexportingstateand/ort
heimportingstate.",
"Pharmaceutic
al  Quality 
System 
(PQS)",제약  품질    시스템,"품질과    관련하여  제약  회사의  방향을  이끌고  통제하는  관리  시
스템.  (ICH  Q10,  ISO  9000:2005  기반)","Management    system  to  direct  and  control  a  pharmaceutical  company  with 
regard  to  quality.    (ICH  Q10  based  upon  ISO  9000:2005)",Ref    19
Precision,정밀성,"균질한    검체를  여러  번  채취하여  정해진  조건에  따라  측정하였
을  때  각각의  측정값들  사이의  근접성(분산정도)을  말한다.",N/A,Ref    17
"Preventive 
Action",예방  조치,"잠재적인    미준수  또는  기타  바람직하지  않은  상황의  원인을  제
거하는  조치.  주:  예방  조치는  발생  방지를  위한  것이며,  시정  조
치는  재발  방지를  위한    것이다.  (ISO  9000:2005)","Action 
 
to  eliminate 
the 
cause  of  a  potential  non-conformity  or  other 
undesirable    potential  situation.  NOTE:  Preventive  action  is  taken  to  prevent 
occurrence    whereas  corrective  action 
is  taken  to  prevent  recurrence. 
(ISO 
9000:2005)",Ref    19
